!
! This is a small development reaction network from UCLCHEM; it includes a minimal amount of species on the ices + UMIST 22 reactions.
! This reaction network has NOT been verified for anything scientific, so it comes with NO warranty on the correctness of the reaction network.
! Produced using UCLCHEM v3.5.1 on 30-07-2025 by Gijs Vermariën
! Notation of species (molecules) in UCLCHEM: @ is bulk of the ice (not so reactive), # is the surface of the ice (reactive) and no prefix is gas phase.
! Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Product 4,Alpha,Beta,Gamma,T_min,T_max,reduced_mass,extrapolate
@C,BULKSWAP,NAN,#C,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH,BULKSWAP,NAN,#CH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH2,BULKSWAP,NAN,#CH2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH3,BULKSWAP,NAN,#CH3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH4,BULKSWAP,NAN,#CH4,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH5,BULKSWAP,NAN,#CH5,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CO,BULKSWAP,NAN,#CO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H,BULKSWAP,NAN,#H,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H2,BULKSWAP,NAN,#H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H2O,BULKSWAP,NAN,#H2O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H3,BULKSWAP,NAN,#H3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H3O,BULKSWAP,NAN,#H3O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HCO,BULKSWAP,NAN,#HCO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HE,BULKSWAP,NAN,#HE,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@MG,BULKSWAP,NAN,#MG,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@O,BULKSWAP,NAN,#O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@O2,BULKSWAP,NAN,#O2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@OH,BULKSWAP,NAN,#OH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
C,CRP,NAN,C+,E-,NAN,NAN,2.3e-17,0.0,0.0,10.0,41000.0,0.0,False
CO,CRP,NAN,CO+,E-,NAN,NAN,3.9e-17,0.0,0.0,10.0,41000.0,0.0,False
H,CRP,NAN,H+,E-,NAN,NAN,5.98e-18,0.0,0.0,10.0,41000.0,0.0,False
H2,CRP,NAN,H+,H,E-,NAN,2.86e-19,0.0,0.0,10.0,41000.0,0.0,False
H2,CRP,NAN,H2+,E-,NAN,NAN,1.2e-17,0.0,0.0,10.0,41000.0,0.0,False
H2,CRP,NAN,H,H,NAN,NAN,1.3e-18,0.0,0.0,10.0,41000.0,0.0,False
HE,CRP,NAN,HE+,E-,NAN,NAN,6.5e-18,0.0,0.0,10.0,41000.0,0.0,False
O,CRP,NAN,O+,E-,NAN,NAN,3.4e-17,0.0,0.0,10.0,41000.0,0.0,False
C,CRPHOT,NAN,C+,E-,NAN,NAN,1.3e-17,0.0,130.0,10.0,41000.0,0.0,False
CH,CRPHOT,NAN,C,H,NAN,NAN,1.3e-17,0.0,550.0,10.0,41000.0,0.0,False
CH,CRPHOT,NAN,CH+,E-,NAN,NAN,1.3e-17,0.0,290.0,10.0,41000.0,0.0,False
CH+,CRPHOT,NAN,C+,H,NAN,NAN,1.3e-17,0.0,110.0,10.0,41000.0,0.0,False
CH2,CRPHOT,NAN,CH2+,E-,NAN,NAN,1.3e-17,0.0,250.0,10.0,41000.0,0.0,False
CH2,CRPHOT,NAN,CH,H,NAN,NAN,1.3e-17,0.0,145.0,10.0,41000.0,0.0,False
CH2+,CRPHOT,NAN,C+,H2,NAN,NAN,1.3e-17,0.0,15.0,10.0,41000.0,0.0,False
CH2+,CRPHOT,NAN,CH+,H,NAN,NAN,1.3e-17,0.0,15.0,10.0,41000.0,0.0,False
CH2+,CRPHOT,NAN,CH,H+,NAN,NAN,1.3e-17,0.0,15.0,10.0,41000.0,0.0,False
