Ion        Z   N  E_th(eV)  E_max(eV)   E_0(eV)  sigma_0(Mb)       y_a         P       y_w       y_0       y_1  Notes
H        1   1  1.360E+1   5.000E+4  4.298E-1     5.475E+4  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
He       2   2  2.459E+1   5.000E+4  1.361E+1     9.492E+2  1.469E+0  3.188E+0  2.039E+0  4.434E-1  2.136E+0  B^b
He+      2   1  5.442E+1   5.000E+4  1.720E+0     1.369E+4  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
Li       3   3  5.392E+0   6.439E+1  3.107E+0     6.245E+1  1.501E+1  4.895E+0  0.000E+0  0.000E+0  0.000E+0  B
Li+      3   2  7.564E+1   5.000E+4  2.006E+1     3.201E+2  7.391E+0  2.916E+0  0.000E+0  0.000E+0  0.000E+0  B
Li++     3   1  1.225E+2   5.000E+4  3.871E+0     6.083E+3  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
Be       4   4  9.323E+0   1.193E+2  9.539E+0     2.932E+5  4.301E-1  1.052E+1  3.655E-1  8.278E-4  1.269E-2  E
Be+      4   3  1.821E+1   1.299E+2  1.181E+0     2.678E+2  5.645E+0  1.170E+1  0.000E+0  0.000E+0  0.000E+0  B
Be++     4   2  1.539E+2   5.000E+4  1.760E+1     5.458E+2  1.719E+1  3.157E+0  0.000E+0  0.000E+0  0.000E+0  B
Be+++      4   1  2.177E+2   5.000E+4  6.879E+0     3.422E+3  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
B        5   5  8.298E+0   1.940E+2  5.213E-1     5.466E+0  8.618E+0  1.728E+1  1.887E+1  1.319E+1  4.556E+0  C
B+       5   4  2.516E+1   2.098E+2  2.869E+0     1.859E+4  1.783E+0  1.618E+1  3.503E+0  4.960E-3  3.400E-2  C
B++      5   3  3.793E+1   2.274E+2  1.041E+0     5.393E+1  1.767E+1  9.540E+0  0.000E+0  0.000E+0  0.000E+0  B
B+++       5   2  2.594E+2   5.000E+4  3.336E+1     2.846E+2  2.163E+1  2.624E+0  0.000E+0  0.000E+0  0.000E+0  B
B++++        5   1  3.402E+2   5.000E+4  1.075E+1     2.190E+3  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
C        6   6  1.126E+1   2.910E+2  2.144E+0     5.027E+2  6.216E+1  5.101E+0  9.157E-2  1.133E+0  1.607E+0  C
C+       6   5  2.438E+1   3.076E+2  4.058E-1     8.709E+0  1.261E+2  8.578E+0  2.093E+0  4.929E+1  3.234E+0  C
C++      6   4  4.789E+1   3.289E+2  4.614E+0     1.539E+4  1.737E+0  1.593E+1  5.922E+0  4.378E-3  2.528E-2  C
C+++       6   3  6.449E+1   3.522E+2  3.506E+0     1.068E+2  1.436E+1  7.457E+0  0.000E+0  0.000E+0  0.000E+0  B
C++++        6   2  3.921E+2   5.000E+4  4.624E+1     2.344E+2  2.183E+1  2.581E+0  0.000E+0  0.000E+0  0.000E+0  B
C+++++       6   1  4.900E+2   5.000E+4  1.548E+1     1.521E+3  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
N        7   7  1.453E+1   4.048E+2  4.034E+0     8.235E+2  8.033E+1  3.928E+0  9.097E-2  8.598E-1  2.325E+0  C
N+       7   6  2.960E+1   4.236E+2  6.128E-2     1.944E+0  8.163E+2  8.773E+0  1.043E+1  4.280E+2  2.030E+1  C
N++     7   5  4.745E+1   4.473E+2  2.420E-1     9.375E-1  2.788E+2  9.156E+0  1.850E+0  1.877E+2  3.999E+0  C
N+++       7   4  7.747E+1   4.753E+2  5.494E+0     1.690E+4  1.714E+0  1.706E+1  7.904E+0  6.415E-3  1.937E-2  C
N++++        7   3  9.789E+1   5.043E+2  4.471E+0     8.376E+1  3.297E+1  6.003E+0  0.000E+0  0.000E+0  0.000E+0  B
N+++++       7   2  5.521E+2   5.000E+4  6.943E+1     1.519E+2  2.627E+1  2.315E+0  0.000E+0  0.000E+0  0.000E+0  B
N++++++      7   1  6.671E+2   5.000E+4  2.108E+1     1.117E+3  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
O        8   8  1.362E+1   5.380E+2  1.240E+0     1.745E+3  3.784E+0  1.764E+1  7.589E-2  8.698E+0  1.271E-1  C^c
O+       8   7  3.512E+1   5.581E+2  1.386E+0     5.967E+1  3.175E+1  8.943E+0  1.934E-2  2.131E+1  1.503E-2  C
O++      8   6  5.494E+1   5.840E+2  1.723E-1     6.753E+2  3.852E+2  6.822E+0  1.191E-1  3.839E-3  4.569E-1  C
